Name,PD Notation,Volume,Crossing Number,Determinant
10^2_4,[[0; 8; 1; 7]; [8; 2; 9; 1]; [15; 2; 16; 3]; [3; 14; 4; 15]; [4; 10; 5; 9]; [10; 6; 11; 5]; [6; 12; 7; 11]; [17; 13; 18; 12]; [13; 19; 0; 18]; [19; 17; 14; 16]],8.1407192213,10,31
10^2_5,[[0; 16; 1; 15]; [4; 2; 5; 1]; [2; 8; 3; 7]; [8; 4; 9; 3]; [12; 6; 13; 5]; [6; 12; 7; 11]; [18; 9; 19; 10]; [10; 17; 11; 18]; [14; 0; 15; 13]; [16; 14; 17; 19]],14.0994551983,10,31
10^2_6,[[7; 0; 8; 1]; [1; 8; 2; 9]; [13; 2; 14; 3]; [3; 16; 4; 17]; [17; 4; 18; 5]; [5; 11; 6; 10]; [11; 7; 12; 6]; [9; 13; 10; 12]; [19; 15; 16; 14]; [15; 19; 0; 18]],14.0994551983,10,31
10^2_7,[[0; 6; 1; 5]; [6; 2; 7; 1]; [2; 11; 3; 12]; [12; 3; 13; 4]; [4; 8; 5; 7]; [8; 18; 9; 17]; [18; 10; 19; 9]; [10; 13; 11; 14]; [14; 16; 15; 19]; [16; 0; 17; 15]],13.640388911,10,31
10^2_8,[[0; 6; 1; 5]; [6; 2; 7; 1]; [2; 11; 3; 12]; [12; 3; 13; 4]; [4; 8; 5; 7]; [17; 8; 18; 9]; [9; 18; 10; 19]; [10; 13; 11; 14]; [14; 16; 15; 19]; [16; 0; 17; 15]],8.9973519436,10,31
10^2_9,[[0; 6; 1; 5]; [6; 2; 7; 1]; [2; 11; 3; 12]; [12; 3; 13; 4]; [4; 8; 5; 7]; [17; 8; 18; 9]; [9; 18; 10; 19]; [10; 13; 11; 14]; [19; 14; 16; 15]; [15; 16; 0; 17]],9.9665118837,10,31
10^2_10,[[0; 9; 1; 10]; [8; 1; 9; 2]; [2; 7; 3; 8]; [3; 12; 4; 13]; [11; 4; 12; 5]; [5; 18; 6; 19]; [17; 6; 18; 7]; [13; 11; 14; 10]; [19; 15; 16; 14]; [15; 17; 0; 16]],12.4047783017,10,31
10^2_11,[[17; 1; 18; 0]; [1; 6; 2; 7]; [9; 3; 10; 2]; [3; 9; 4; 8]; [13; 4; 14; 5]; [5; 14; 6; 15]; [7; 10; 8; 11]; [11; 19; 12; 18]; [19; 13; 16; 12]; [15; 17; 0; 16]],14.3903319654,10,31
10^2_12,[[0; 17; 1; 18]; [1; 6; 2; 7]; [9; 3; 10; 2]; [3; 9; 4; 8]; [13; 4; 14; 5]; [5; 14; 6; 15]; [7; 10; 8; 11]; [11; 19; 12; 18]; [19; 13; 16; 12]; [16; 15; 17; 0]],11.370774180,10,31
10^2_13,[[0; 17; 1; 18]; [1; 6; 2; 7]; [9; 3; 10; 2]; [3; 9; 4; 8]; [13; 4; 14; 5]; [5; 14; 6; 15]; [7; 10; 8; 11]; [18; 11; 19; 12]; [12; 19; 13; 16]; [16; 15; 17; 0]],7.7069118028,10,31
10^2_14,[[17; 1; 18; 0]; [1; 6; 2; 7]; [9; 3; 10; 2]; [3; 9; 4; 8]; [4; 14; 5; 13]; [14; 6; 15; 5]; [7; 10; 8; 11]; [11; 19; 12; 18]; [19; 13; 16; 12]; [15; 17; 0; 16]],12.005951173,10,31
10^2_15,[[5; 1; 6; 0]; [1; 5; 2; 4]; [13; 2; 14; 3]; [3; 12; 4; 13]; [17; 6; 18; 7]; [7; 16; 8; 17]; [15; 9; 0; 8]; [9; 15; 10; 14]; [19; 10; 16; 11]; [11; 18; 12; 19]],13.9558669862,10,31
